age-range,gender,race,importance_same_religion,field,reading,gaming,dining,music,movies,tv,clubbing,hiking,exercise,sports,tvsports,FoodChoice,locations,theater_normalized,reading_normalized,gaming_normalized,dining_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,tvsports_normalized,funny_normalized,importance_same_religion_normalized,compatbilityScore
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,CPR Annex,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Non-Vegetarian,Sherwood Estates,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,Lakewood,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,Grand Trunk Annex,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,Riverside,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,Arcola Sub,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,Dewdney Place,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,Vegetarian,CPR Annex,0.2,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.4,1.0,0.8,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Non-Vegetarian,Wascana Crescents,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Non-Vegetarian,Regent Park,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Non-Vegetarian,Albert Park,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Non-Vegetarian,Garden Ridge,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Non-Vegetarian,Wascana Crescents,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Vegetarian,City View,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Vegetarian,Lakewood,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Vegetarian,Dewdney Place,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Non-Vegetarian,City View,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,Vegetarian,Dewdney Place,0.9,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,0.4,1.0,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Vegetarian,Uplands,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Non-Vegetarian,Westhill,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Vegetarian,CPR Annex,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Non-Vegetarian,Highland Park,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Vegetarian,Grand Trunk Annex,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Vegetarian,Riverside,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Non-Vegetarian,Garden Ridge,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Vegetarian,Arcola Sub,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Non-Vegetarian,Riverside,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,european/caucasian-american,1.0,law,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,1.0,1.0,Non-Vegetarian,Sherwood Estates,0.9,0.875,1.0,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.2,0.2,0.875,1.0,0
"(21, 25)",female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,Non-Vegetarian,Lakewood,1.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,0.9,1.0,0
"(21, 25)",female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,Non-Vegetarian,CPR Annex,1.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,0.9,1.0,0
"(21, 25)",female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,Vegetarian,Garden Ridge,1.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,0.9,1.0,0
"(21, 25)",female,asian/pacific islander/asian-american,1.0,law,9.0,2.0,7.0,4.0,6.0,2.0,6.0,9.0,9.0,10.0,8.0,Vegetarian,Regent Park,1.0,0.9,0.4,0.875,0.8,0.75,0.4,0.75,0.9,0.9,1.0,1.0,0.9,1.0,0
