age,gender,race,importance_same_religion,field,reading,gaming,dining,music,movies,tv,clubbing,hiking,exercise,sports,tvsports,reading_normalized,gaming_normalized,dining_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,age-range,FoodChoice,Smoking,Drinking,locations
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Non-Vegetarian,Sometimes,Occasionally,CPR Annex
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Vegetarian,Sometimes,Occasionally,Uplands
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Non-Vegetarian,Sometimes,No,Wascana Crescents
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Vegetarian,Sometimes,No,Albert Park
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Non-Vegetarian,Yes,Occasionally,Lakewood
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Non-Vegetarian,Yes,Yes,CPR Annex
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Vegetarian,Yes,Yes,Riverside
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Non-Vegetarian,No,Occasionally,Lakewood
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Vegetarian,Yes,Yes,Albert Park
21.0,female,asian/pacific islander/asian-american,4.0,law,6.0,1.0,9.0,9.0,10.0,9.0,5.0,5.0,8.0,9.0,2.0,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,"(21, 25)",Vegetarian,Sometimes,Yes,City View
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,No,Occasionally,Riverside
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,No,Yes,Albert Park
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Vegetarian,Sometimes,Yes,Creekside
24.0,female,european/caucasian-american,5.0,law,10.0,5.0,10.0,8.0,8.0,1.0,8.0,3.0,7.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,"(21, 25)",Non-Vegetarian,Sometimes,Yes,Garden Ridge
