age-range,gender,race,FoodChoice,field,reading_normalized,gaming_normalized,dining_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,Smoking,Drinking,locations
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Regent Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,Occasionally,Parkridge
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,Yes,Regent Park
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Sherwood Estates
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,No,Belvedere
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,No,City View
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,Occasionally,Arcola Sub
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Grand Trunk Annex
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,No,City View
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,Yes,Belvedere
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,Yes,Albert Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Occasionally,Garden Ridge
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Occasionally,Harbour Landing
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Occasionally,Garden Ridge
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,No,Albert Park
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,Occasionally,Riverside
