age-range,gender,race,FoodChoice,field,reading_normalized,gaming_normalized,dining_normalized,music_normalized,movies_normalized,tv_normalized,clubbing_normalized,hiking_normalized,exercise_normalized,sports_normalized,importance_same_religion_normalized,Smoking,Drinking,locations
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,Occasionally,Rochdale Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,No,Churchill Place
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Uplands
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,Occasionally,Lakeview
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,No,Arcola Sub
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,Yes,Innismore
"(21, 25)",female,asian/pacific islander/asian-american,Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,No,University Park
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Yes,Occasionally,Glen Elm Park South
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,No,No,Broders Annex
"(21, 25)",female,asian/pacific islander/asian-american,Non-Vegetarian,law,0.75,0.2,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.8,Sometimes,No,CPR Annex
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Occasionally,Douglas Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,No,Glen Elm Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,No,Glen Elm Park South
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Occasionally,Normanview West
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,No,Douglas Place
"(21, 25)",female,european/caucasian-american,Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Occasionally,Rochdale Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,Occasionally,Belvedere
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Sometimes,Occasionally,University Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,Yes,No,Parkridge
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,law,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.6,0.875,0.6,1.0,No,Yes,Windsor Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,No,Eastern Annex
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,Yes,Premier Place
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,Yes,Connaught Park
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Sometimes,No,Uplands
"(21, 25)",female,european/caucasian-american,Non-Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,No,No,Richmond Place
"(21, 25)",female,european/caucasian-american,Vegetarian,economics,0.875,0.8,1.0,1.0,0.875,1.0,1.0,1.0,0.875,0.6,0.8,Yes,Occasionally,Churchill Place
